id	first_name	last_name	gender
10963	Chris	Anastasio	M
32638	Michael	Beach	M
33949	John	Bedford Lloyd	M
42278	Michael	Biehn	M
57051	Captain Kidd	Brewer Jr.	M
64610	Leo	Burmester	M
69977	Mike (I)	Cameron	M
70419	J. Kenneth	Campbell	M
81503	Michael (I)	Chapman	M
108530	Phillip	Darlington	M
130508	Thomas F.	Duffy	M
138073	Chris (I)	Elliott	M
145064	Joe	Farago	M
181264	Todd	Graff	M
197929	Ed (I)	Harris	M
223068	Tom	Isbell	M
228850	Ken (I)	Jenkins	M
250810	George Robert	Klek	M
281620	Frank (II)	Lloyd	M
334067	Marcus K.	Mukai	M
335612	Christopher (I)	Murphy	M
341916	Adam (I)	Nelson	M
342314	Joseph C.	Nemec III	M
386373	J.C.	Quinn	M
391009	Peter	Ratray	M
459752	Brad	Sullivan	M
502273	Dick	Warlock	M
504906	Jimmie Ray	Weeks	M
514734	William	Wisher Jr.	M
589318	Paula	Cross	F
636502	Wendy	Gordon	F
712889	Mary Elizabeth	Mastrantonio	F
785706	Kimberly (I)	Scott	F
840493	Emily	Yancy	F
16844	William (I)	Armstrong	M
36641	Jay (I)	Benedict	M
144260	Blain	Fairman	M
204493	Christopher	Henn	M
204719	Lance	Henriksen	M
213646	William	Hope	M
240277	Daniel	Kash	M
272557	John	Lees	M
305705	Al	Matthews	M
306790	Paul (I)	Maxwell	M
310030	Mac (I)	McDonald	M
366173	Bill	Paxton	M
378476	Alan	Polonsky	M
394516	Paul	Reiser	M
405572	Mark	Rolston	M
408215	Ricco	Ross	M
452549	Trevor	Steedman	M
474375	Tip	Tipping	M
476429	Carl	Toop	M
583693	Barbara	Coles	F
583735	Valerie	Colgan	F
596318	Holly	De Jong	F
635153	Jenette	Goldstein	F
651551	Carrie	Henn	F
653997	Colette	Hiller	F
661430	Elizabeth	Inglis	F
748340	Alibe	Parsons	F
785581	Cynthia Dale	Scott	F
831289	Sigourney	Weaver	F
69940	James (I)	Cameron	M
128257	Richard	Doyle	M
137802	Bob	Elkins	M
185164	Fred	Griffith	M
232844	Dean (VII)	Jones	M
259373	Karl (II)	Kuhn	M
285456	Curt	Lowens	M
428322	Ty	Sears	M
432055	Chris	Shafer	M
452552	Heinz	Steeg	M
460992	Blake	Sutton	M
505504	Walter	Weintz	M
518333	Kai	Wulff	M
933	Lewis	Abernathy	M
16963	Charlie	Arneson	M
24256	Jesse (II)	Baker	M
24288	Justin (II)	Baker	M
58357	Dr. John	Broadwater	M
61439	John (I)	Bruno	M
83459	Genya	Chernaiev	M
126295	John (I)	Donovan	M
152244	Aaron C.	Fitzgerald	M
188927	Piper	Gunnarson	M
227895	Corey	Jaskolski	M
247406	Thomas	Kilroy	M
271226	Jeffrey N.	Ledda	M
288312	Don (II)	Lynch	M
300455	Ken	Marschall	M
346051	Victor	Nischeta	M
358828	Vince	Pace	M
365476	Jason (II)	Paul	M
367826	Charles (I)	Pellegrino	M
414913	Dr. Anatoly M.	Sagalevitch	M
424651	Eric	Schmitz	M
433468	Justin	Shaw	M
510823	Miguel	Wilkins	M
523925	Federico	Zambrano	M
649578	Stacey	Hayes	F
667425	Dr. Lori	Johnston	F
758870	Judy	Prestininzi	F
768452	Dale (II)	Ridge	F
794639	Tava	Smiley	F
809044	Janace	Tashjian	F
819988	Adriana	Valdez	F
91252	Phil	Colby	M
116418	Gaetano	Del Grande	M
129406	Paul	Drummond	M
175604	Ancile	Gloudon	M
176935	Ricky Paull	Goldin	M
223545	Paul	Issa	M
258459	Lee	Krug	M
297529	Steve	Marachuk	M
359763	Jim	Pair	M
388685	Johnny	Ralston	M
398113	Ted	Richert	M
407927	Arnie	Ross	M
418091	Albert (I)	Sanders	M
508939	Ward	White	M
521874	Aston S.	Young	M
551641	Tracey	Berg	F
590307	Dorothy	Cunningham	F
594608	Carole (I)	Davis	F
638349	Leslie (I)	Graves	F
643627	Connie Lynn	Hadden	F
705207	Hildy	Magnasun	F
707687	Jan Eisner	Mannon	F
741046	Tricia	O'Neil	F
756625	Anne	Pollack	F
767575	Sally	Ricca	F
832066	Myra	Weisler	F
47595	Earl	Boen	M
103007	Jim	Cummings	M
162232	Edward	Furlong	M
257870	Mark	Kriski	M
364956	Robert (I)	Patrick	M
426628	Arnold	Schwarzenegger	M
645256	Linda (I)	Hamilton	F
450	Dalton	Abbott	M
17037	Bret A.	Arnold	M
39044	Xander	Berkeley	M
39129	Ennalls	Berl	M
59799	Charles Robert	Brown	M
82660	Casey	Chavez	M
95086	Danny	Cooksey	M
135826	Michael (I)	Edwards	M
137207	Abdul Salaam	El Razzac	M
142921	Terrence	Evans	M
172134	Ken	Gibbel	M
187569	Castulo	Guerra	M
233988	J. Rob	Jordan	M
255881	Pat	Kouri	M
263765	Don	Lake	M
269396	Mark Christopher	Lawrence	M
279903	Van	Ling	M
284866	Jared	Lounsbery	M
288301	Colin Patrick	Lynch	M
310084	Tom (I)	McDonald	M
332070	Joe	Morton	M
336379	Mike	Muscat	M
346378	DeVaughn	Nixon	M
347730	Dean	Norris	M
360529	Jim (I)	Palmer	M
374220	Denney	Pierce	M
425673	Peter	Schrum	M
433531	Scott (I)	Shaw	M
439561	Tony	Simotes	M
451689	Dan	Stanton	M
451692	Don	Stanton	M
465636	Charles A.	Tamburro	M
493307	Richard	Vidan	M
510502	Shane	Wilder	M
511606	Gerard G.	Williams	M
514131	Robert	Winley	M
522268	Ron (I)	Young	M
563244	Lisa	Brinegar	F
588077	Nikki	Cox	F
597793	Gwenda	Deacon	F
608796	Na'loni	Durden	F
614721	Noel	Evangelisti	F
620255	Nancy	Fish	F
645152	Leslie	Hamilton Gearren	F
720259	S. Epatha	Merkerson	F
771500	Diane	Rodriguez	F
828805	Misty Jo	Walker	F
58045	John E.	Bristol	M
92891	Franco	Columbu	M
124873	Ed	Dogans	M
132356	John	Durban	M
145889	Hugh	Farrington	M
160251	Norman	Friedman	M
160622	Ken (I)	Fritz	M
179526	Philip (I)	Gordon	M
236878	Al	Kahn	M
245075	Bruce M.	Kerner	M
321383	Dick (I)	Miller	M
323583	Tony	Mirelez	M
331400	Leslie (I)	Morris	M
351978	Tom	Oberhaus	M
374217	David (II)	Pierce	M
375423	Patrick	Pinney	M
388681	James	Ralston	M
392215	Brad	Rearden	M
398193	Bill W.	Richmond	M
401041	Gregory	Robbins	M
408622	Rick	Rossovich	M
456639	Wayne	Stone	M
472024	Brian (I)	Thompson	M
480252	Anthony	Trujillo	M
511368	Chino 'Fats'	Williams	M
512349	Webster	Williams	M
513935	Paul	Winfield	M
519450	Stan	Yale	M
624665	Loree	Frazier	F
659683	Hettie Lynne	Hurtes	F
718489	Harriet	Medin	F
730105	Bess	Motta	F
730692	Marianne	Muellerleile	F
758221	Barbara	Powers	F
783346	Shawn	Schepps	F
2898	Seth (I)	Adkins	M
11865	Scott G.	Anderson	M
12043	Kris	Andersson	M
18638	Richard (II)	Ashton	M
29603	Jason	Barry	M
54608	Eric	Braeden	M
57665	Paul	Brightwell	M
66328	Mike	Butters	M
66776	Chris (I)	Byrne	M
70744	Bruno	Campolo	M
72215	Mark	Capri	M
76228	Nicholas	Cascone	M
76443	Aaron James	Cash	M
76653	Marc	Cass	M
81499	Mark Lindsay	Chapman	M
93883	Brendan	Connolly	M
95037	Gregory (I)	Cooke	M
99597	Chris	Cragnotti	M
99941	Simon (I)	Crane	M
101233	David	Cronnelly	M
118569	Barry	Dennen	M
121758	Leonardo	DiCaprio	M
125676	Ron	Donachie	M
130426	Shay	Duffin	M
134352	Martin	East	M
138312	Greg (II)	Ellis	M
140049	Michael	Ensign	M
142962	Jonathan	Evans-Jones	M
144555	Anders (I)	Falk	M
153207	Edward	Fletcher	M
155472	Terry	Forestal	M
155930	Edmund Alan	Forsyth	M
156939	Bernard (I)	Fox	M
157096	Richard (I)	Fox	M
157680	Romeo	Francis	M
162721	Thomas	Füri	M
165721	Victor	Garber	M
167468	James (IV)	Garrett	M
172669	Werner	Giger	M
181486	Richard (I)	Graham	M
186652	Ioan	Gruffudd	M
199768	Lorenz	Hasler	M
205287	Paul (IV)	Herbert	M
208287	Bernard	Hill	M
209729	Scott	Hislop	M
211832	Erik	Holland	M
216473	Martin	Hub	M
219643	Jonathan	Hyde	M
226351	Emmett	James	M
227836	Martin	Jarvis	M
